,mantel_r,"p_value (Hommola test based on all data, includes monophyletic clades of MAGs)*","p_value (Hommola test based on subsampled data, includes one MAG per host species)**","p_value (PACo test based on subsampled data, includes one MAG per host species)**",symbiont_tips_count (number of MAGs  in clade),host_tips_count (number of host species with MAGs represented in clade),host_tip_span (total number of host species spanned by host clade),symbiont_subtree,host_subtree,host_clade_depth,symbiont_clade_depth,taxonomic assignment of clade
18,0.827520435,0.001,0.336,0.324,10,3,5,"(((('WC34_WC34_007':0.0280680804,'WC9_107':0.0251924094)87:0.0131348294,('B05_WC34_S34__DASTool_bins_metabat2_306':0.0026191968,'A05_WC33_S33__DASTool_bins_concoct_172':1.0008e-06)99:0.0021728455)87:0.0051220698,((('E02_WC13_S13__DASTool_bins_concoct_119':0.0002653615,('D03_WC20_S20__DASTool_bins_concoct_232_sub':0.0033884631,'C03_WC19_S19__DASTool_bins_concoct_036':0.0026045566)94:0.0004494555)81:0.000325135,'D02_WC12_S12__DASTool_bins_D02_WC12_S12__bin_90':0.0046583765)87:0.0013170232,'A01_WC1_S1__DASTool_bins_concoct_121':0.001085521)87:0.0036455257)100:0.0273952343,'HicksAL_2018__WDG_0145__bin_12':0.0531931993)100:0.0658260407;","('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513;",18.62619104,0.126913413,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotellamassilia;s__
19,0.830048131,0.008,0.341,0.34,7,3,4,"((('VincentC_2016__MM075_2_megahit__bin_3':0.0857686028,'HMP_2012__SRS023604__bin_16':0.1461798788)100:0.0373785515,('HMP_2012__SRS049389__bin_7':0.0358768473,'HMP_2012__SRS047219__bin_68':0.0542857175)100:0.161265445)100:0.1511189964,(('D04_WC28_S28__DASTool_bins_concoct_334_sub':0.019623173,'B05_WC34_S34__DASTool_bins_concoct_144_sub':0.0212874128)100:0.0413611592,'D04_WC28_S28__DASTool_bins_concoct_103':0.0681454618)100:0.2601390124)100:0.0495989234;","((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052;",13.80181,0.694954633,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Stomatobaculum;s__
21,0.831403417,0.005,0.154,0.158,9,3,5,"('HicksAL_2018__WDG_0018__bin_12':0.0437421982,(('H03_WC24_S24__DASTool_bins_95':0.0050396766,'B04_WC26_S26__DASTool_bins_metabat2_471':0.0014496741)100:0.0246831125,((('E02_WC13_S13__DASTool_bins_maxbin2_010':0.0007311157,'A01_WC1_S1__DASTool_bins_concoct_126':0.0024428061)100:0.0003468907,('D04_WC28_S28__DASTool_bins_concoct_033':0.0002913501,'D01_WC4_S4__DASTool_bins_concoct_195':0.0017309616)100:0.0005824518)100:0.0006474772,('E01_WC5_S5__DASTool_bins_metabat2_144':2.5445e-06,'WC5_WC5_008':0.0087331211)100:0.000872055)100:0.0306234067)100:0.0247836027)100:0.1332124671;","('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513;",18.62619104,0.108754384,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__;s__
22,0.837897726,0.004,0.832,0.829,8,3,12,"(('Lib4_2_bin_40_filtered':0.0207071122,(((('TungJ_2015__F06__bin_85':0.0001769671,'TungJ_2015__F25__bin_9':0.008315576)100:5.019e-05,'TungJ_2015__M16__bin_65':1.0008e-06)100:0.0008658126,'TungJ_2015__F31__bin_131':0.0004938382)100:0.0022219123,'TungJ_2015__M06__bin_50':0.0048268766)100:0.0139104151)100:0.0049443061,('ZeeviD_2015__PNP_Validation_67_megahit__bin_2':0.0044753663,'E02_WC13_S13__DASTool_bins_metabat2_309':0.0148267346)100:0.0029029439)100:0.1263604005;","((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953;",59.38309363,0.048037891,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__;s__
23,0.841497204,0.02,0.171,0.181,7,3,4,"('s02_bin_72_filtered':0.0414400362,(((('WC34_bin_125_sub':0.0222005738,('A05_WC33_S33__DASTool_bins_metabat2_083_sub':1.0008e-06,'WC33_bin_28':0.0208049692)100:0.0003654887)100:0.0015730274,'H04_WC32_S32__DASTool_bins_concoct_181':0.0054932535)100:0.0053974648,'G03_WC23_S23__DASTool_bins_163_sub':0.0264701983)100:0.0114554918,'C05_WC35_S35__DASTool_bins_metabat2_257':0.0124737169)100:0.0079526313)98:0.0167092406;","((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052;",13.80181,0.090019225,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__
24,0.842671008,0.002,0.171,0.163,11,3,12,"('RampelliS_2015__H24__bin_43':0.0122580422,(((('TungJ_2015__F03__bin_31':0.0002091822,('TungJ_2015__M11__bin_9':0.0095521304,'TungJ_2015__F29__bin_32':1.0008e-06)100:0.0037979838)100:2.14892e-05,((('TungJ_2015__M16__bin_115':0.0002350523,'TungJ_2015__M13__bin_10':0.000446331)99:1.0007e-06,'TungJ_2015__M09__bin_31':0.00051007)100:1.0007e-06,'TungJ_2015__F31__bin_61':1.0008e-06)100:0.0006848458)100:0.0002132127,'TungJ_2015__M03__bin_23':0.0004652702)100:0.0086063721,('BritoIL_2016__W3_22_ST__bin_85':0.0097728051,'D03_WC20_S20__DASTool_bins_metabat2_147_sub':0.0108353761)100:0.0057376113)65:0.0044397938)100:0.0121340075;","((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953;",59.38309363,0.038889024,d__Bacteria;p__Other;c__UBP9;o__UBA4705;f__UBA4705;g__UBA4705;s__
26,0.847618651,0.002,1.0,1.0,12,3,20,"((('ZellerG_2014__CCIS35100175ST_4_0__bin_37':0.000986295,('AmatoKR_2018__qiita_sid_11212_11212_Apalw13__bin_12':1.0008e-06,'AmatoKR_2018__qiita_sid_11212_11212_Apalw14__bin_1':1.0008e-06)100:0.0016370026)100:0.0051722818,'s02_bin_189_filtered':0.0083569742)100:0.0056518545,((('TungJ_2015__M16__bin_46':1.0008e-06,'TungJ_2015__F31__bin_129':1.0008e-06)87:1.0007e-06,('TungJ_2015__F23__bin_44':0.0021926422,'TungJ_2015__F16__bin_24':1.0008e-06)100:0.0002797619)100:0.0019185309,((('TungJ_2015__F24__bin_16':0.0003823839,'TungJ_2015__F19__bin_19':0.0005447106)94:0.0005369634,'TungJ_2015__F17__bin_44':2.5445e-06)94:0.0004866406,'TungJ_2015__F21__bin_17':0.0004996027)100:0.0002411596)100:0.0088597607)100:0.0406415738;","(('Cebus_capucinus':20.6635964,((('Alouatta_pigra':3.19525,'Alouatta_palliata':3.19525)11:1.67410167,('Alouatta_seniculus':3.90438167,'Alouatta_caraya':3.90438167)10:0.96497)19:10.02098405,(('Ateles_hybridus':4.65265,'Ateles_belzebuth':4.65265)9:7.47888462,'Lagothrix_lagotricha':12.13153462)22:2.7588011)8:5.77326069)6:22.48769995,((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953)39:30.685598;",86.80259271,0.027259524,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Treponema_D;s__
28,0.858626683,0.001,0.307,0.332,9,3,12,"('AmatoKR_2018__qiita_sid_11212_11212_RC2068__bin_44':0.085986063,(((((('F02_WC14_S14__DASTool_bins_metabat2_012':0.0002337995,'E02_WC13_S13__DASTool_bins_metabat2_042':0.0005220895)100:0.0005060969,'E01_WC5_S5__DASTool_bins_metabat2_146':0.0176950493)67:0.0009662707,'C03_WC19_S19__DASTool_bins_metabat2_071':0.006289313)67:0.0004565997,'D01_WC4_S4__DASTool_bins_concoct_150':0.0075406929)67:0.0013559437,'A01_WC1_S1__DASTool_bins_metabat2_033':0.0086207485)100:0.0385350697,('B04_WC26_S26__DASTool_bins_concoct_269_sub':0.0115790981,'A04_WC25_S25__DASTool_bins_metabat2_097':0.0093029508)100:0.0419459319)100:0.0353052402)100:0.052373757;","((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953;",59.38309363,0.180300236,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__;g__;s__
31,0.868491966,0.001,0.293,0.332,13,3,4,"((('Lib4_2_bin_59_filtered':0.032089847,'RampelliS_2015__H15__bin_4':0.0135616736)92:0.0080940431,'RampelliS_2015__H27__bin_15':0.0086756636)100:0.1429260933,((('H04_WC32_S32__DASTool_bins_concoct_051_sub':0.0062344728,(('WC34_bin_70':1.0008e-06,'A05_WC33_S33__DASTool_bins_metabat2_135':1.0008e-06)100:0.000239372,'WC33_bin_31_sub':0.0097055315)100:0.0019084893)100:0.0033184842,(('E01_WC5_S5__DASTool_bins_concoct_015':0.0019420909,'D01_WC4_S4__DASTool_bins_concoct_042':0.0059248067)100:0.0008783294,'A01_WC1_S1__DASTool_bins_concoct_050':0.002325556)100:0.0068496767)100:0.0936244139,(('E02_WC13_S13__DASTool_bins_concoct_072':0.0008203925,'D03_WC20_S20__DASTool_bins_concoct_067':0.0004489471)100:0.0024762685,'C03_WC19_S19__DASTool_bins_concoct_024':0.0015858367)100:0.0747126495)100:0.0583543737)100:0.0581448698;","((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052;",13.80181,0.350021276,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__
33,0.891822279,0.002,0.661,0.662,10,3,23,"(((('ZeeviD_2015__PNP_DietIntervention_45_megahit__bin_2':0.0738408804,'KarlssonFH_2013__S317__bin_84':0.0554914301)100:0.0128799801,('YuJ_2015__SZAXPI017460_27__bin_36':0.0353264644,'HeQ_2017__SZAXPI029574_89__bin_21':0.0424497894)100:0.0119502274)100:0.0312462147,('FengQ_2015__SID532826__bin_11':0.0307011121,'XieH_2016__YSZC12003_37400__bin_7':0.0486618241)100:0.0511846364)100:0.0740012368,((('AmatoKR_2018__qiita_sid_11212_11212_PVAbb__bin_23':0.0022480633,'AmatoKR_2018__qiita_sid_11212_11212_PVPam__bin_15':1.0008e-06)100:0.0032698961,'AmatoKR_2018__qiita_sid_11212_11212_PVLou__bin_17':0.0038521046)100:0.1520042447,'AmatoKR_2018__qiita_sid_11212_11212_Ahyb411__bin_23':0.1347328082)100:0.0743156304)100:0.0370639335;","(('Propithecus_verreauxi':38.36398632,('Lemur_catta':19.5138425,'Eulemur_rubriventer':19.5138425)14:18.85014382)13:35.47290803,(('Cebus_capucinus':20.6635964,((('Alouatta_pigra':3.19525,'Alouatta_palliata':3.19525)11:1.67410167,('Alouatta_seniculus':3.90438167,'Alouatta_caraya':3.90438167)10:0.96497)19:10.02098405,(('Ateles_hybridus':4.65265,'Ateles_belzebuth':4.65265)9:7.47888462,'Lagothrix_lagotricha':12.13153462)22:2.7588011)8:5.77326069)6:22.48769995,((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953)39:30.685598);",148.1737887,0.423806147,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__;s__
36,0.898163176,0.007,0.344,0.345,14,3,20,"(('FerrettiP_2018__CA_C10042IS2731FE_t2M16__bin_6':0.0055050105,'F02_WC14_S14__DASTool_bins_metabat2_055':0.0015843556)100:0.0025227111,(((((('OrkinJD_2019__SSR105__bin_25':0.0004651679,'OrkinJD_2019__SSR116__bin_7':0.0022724875)90:0.0017641349,'OrkinJD_2019__SSR096__bin_2':1.0008e-06)58:1.0007e-06,('OrkinJD_2019__SSR056__bin_2':0.0003711399,'OrkinJD_2019__SSR093__bin_3':0.0091996317)91:0.0043987696)92:1.0007e-06,'OrkinJD_2019__SSR039__bin_15':1.0008e-06)90:1.0007e-06,('OrkinJD_2019__SSR118__bin_6':0.0002714086,'OrkinJD_2019__SSR091__bin_1':0.0011465647)100:0.0004489465)100:0.0023149506,(('OrkinJD_2019__SSR047__bin_3':0.0003579972,'OrkinJD_2019__SSR046__bin_20':1.0008e-06)100:0.000232017,('OrkinJD_2019__SSR049__bin_13':0.0004733816,'OrkinJD_2019__SSR024__bin_9':0.0005591317)100:0.0005243474)100:0.0040031653)100:0.0195057342)100:0.0121642296;","(('Cebus_capucinus':20.6635964,((('Alouatta_pigra':3.19525,'Alouatta_palliata':3.19525)11:1.67410167,('Alouatta_seniculus':3.90438167,'Alouatta_caraya':3.90438167)10:0.96497)19:10.02098405,(('Ateles_hybridus':4.65265,'Ateles_belzebuth':4.65265)9:7.47888462,'Lagothrix_lagotricha':12.13153462)22:2.7588011)8:5.77326069)6:22.48769995,((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953)39:30.685598;",86.80259271,0.043448809,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__
37,0.900324934,0.005,0.112,0.162,9,3,5,"((('HicksAL_2018__WDG_0092__bin_14':0.0017256192,'HicksAL_2018__WDG_0154__bin_18':0.0115906759)96:0.0150489705,'HicksAL_2018__WDG_0127__bin_21':0.0011618788)100:0.0448197093,((((('E02_WC13_S13__DASTool_bins_concoct_217_sub':0.0012878327,'D02_WC12_S12__DASTool_bins_48':0.0013540679)100:0.0005885556,'D03_WC20_S20__DASTool_bins_concoct_037_sub':0.0092624696)100:0.0004009456,'D04_WC28_S28__DASTool_bins_metabat2_272':0.002658621)94:0.0013541783,'E01_WC5_S5__DASTool_bins_metabat2_242_sub':0.000576002)94:0.0016332444,'WC5_bin_144':0.0441510547)100:0.0464639151)100:0.0196323984;","('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513;",18.62619104,0.162074326,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__RC9;s__
38,0.904324909,0.005,0.172,0.163,10,3,12,"(((('TungJ_2015__F03__bin_31':0.0002091822,('TungJ_2015__M11__bin_9':0.0095521304,'TungJ_2015__F29__bin_32':1.0008e-06)100:0.0037979838)100:2.14892e-05,((('TungJ_2015__M16__bin_115':0.0002350523,'TungJ_2015__M13__bin_10':0.000446331)99:1.0007e-06,'TungJ_2015__M09__bin_31':0.00051007)100:1.0007e-06,'TungJ_2015__F31__bin_61':1.0008e-06)100:0.0006848458)100:0.0002132127,'TungJ_2015__M03__bin_23':0.0004652702)100:0.0086063721,('BritoIL_2016__W3_22_ST__bin_85':0.0097728051,'D03_WC20_S20__DASTool_bins_metabat2_147_sub':0.0108353761)100:0.0057376113)65:0.0044397938;","((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953;",59.38309363,0.038764176,d__Bacteria;p__Other;c__UBP9;o__UBA4705;f__UBA4705;g__UBA4705;s__
39,0.905348466,0.001,0.853,0.821,28,3,12,"(((((((('TungJ_2015__F01__bin_31':0.000691516,(('TungJ_2015__F04__bin_4':0.000223045,'TungJ_2015__F06__bin_86':1.0008e-06)98:0.000312761,('TungJ_2015__F05__bin_25':0.0010774915,'TungJ_2015__F07__bin_22':0.0008815287)48:0.0002253606)47:0.0003561961)20:1.0007e-06,'TungJ_2015__F23__bin_25':1.0008e-06)33:0.0002226427,'TungJ_2015__F22__bin_13':0.0027622931)21:1.0007e-06,(((((('TungJ_2015__M16__bin_54':0.0002265447,'TungJ_2015__M07__bin_8':1.0008e-06)100:0.0009107087,'TungJ_2015__F08__bin_20':1.0008e-06)71:2.3005e-06,(((('TungJ_2015__M11__bin_37':0.0002668232,'TungJ_2015__F21__bin_28':0.0002296733)100:0.000801912,'TungJ_2015__F14__bin_24':2.6674e-06)98:0.0002670708,(('TungJ_2015__M05__bin_32':0.0060163565,'TungJ_2015__F11__bin_17':0.001119142)23:2.0349e-06,'TungJ_2015__F25__bin_20':0.0006843263)23:0.0002220606)23:0.0002220248,'TungJ_2015__F31__bin_43':0.0002328364)54:0.0004457642)78:0.0006721683,'TungJ_2015__M04__bin_95':2.3195e-06)31:0.00022235,('TungJ_2015__M09__bin_21':0.0042629643,'TungJ_2015__F24__bin_18':1.0008e-06)72:0.0002226495)23:0.0002226301,('TungJ_2015__M06__bin_48':0.0002323309,'TungJ_2015__F29__bin_36':1.0008e-06)53:0.0002222996)27:0.0002231414)57:0.0002229528,('TungJ_2015__M14__bin_10':1.0008e-06,'TungJ_2015__M01__bin_98':1.0008e-06)100:0.0004749148)87:0.0004460864,'TungJ_2015__F09__bin_16':0.0002232032)100:0.0145300872,('CM_madagascar__A90_04_1FE__bin_56':0.013861047,'BritoIL_2016__M1_48_ST__bin_55':0.020528117)100:0.0061451612)100:0.0263696998,'D03_WC20_S20__DASTool_bins_metabat2_160':0.031452826)100:0.1452743302;","((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953;",59.38309363,0.084495804,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__
41,0.909370453,0.018,0.317,0.334,7,3,4,"((((('F04_WC30_S30__DASTool_bins_concoct_114':0.0011555335,'C04_WC27_S27__DASTool_bins_concoct_021':0.0018083904)100:0.0018278043,'F03_WC22_S22__DASTool_bins_metabat2_160':0.0016576591)97:0.0015530151,'B04_WC26_S26__DASTool_bins_concoct_180_sub':0.018214958)100:0.0166342658,('D04_WC28_S28__DASTool_bins_concoct_105':0.0150577676,'B05_WC34_S34__DASTool_bins_concoct_217':0.0107449596)100:0.0108276005)100:0.289463891,'CM_periimplantitis__SP_305SPI_T016__bin_20':0.3219753563)100:0.6282446795;","((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052;",13.80181,0.646288471,d__Bacteria;p__Other;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__;s__
45,0.93246941,0.006,0.237,0.339,11,3,12,"((((('TungJ_2015__F04__bin_12':1.0008e-06,(('TungJ_2015__F05__bin_18':0.000487031,'TungJ_2015__F18__bin_9':0.0065128137)54:1.0007e-06,'TungJ_2015__F06__bin_80':1.0008e-06)62:2.5445e-06)50:1.0007e-06,'TungJ_2015__F21__bin_4':0.0084097578)100:0.0009168414,'TungJ_2015__F15__bin_20':0.000391606)100:0.0002258416,(('TungJ_2015__M04__bin_64':1.0008e-06,'TungJ_2015__M01__bin_133':1.0008e-06)98:1.0007e-06,'TungJ_2015__F31__bin_107':0.0006547913)100:0.0008231516)100:0.0103827687,('B05_WC34_S34__DASTool_bins_concoct_001':0.002235759,'B04_WC26_S26__DASTool_bins_metabat2_349':0.0119934247)100:0.0108375216)100:0.0049851742;","((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953;",59.38309363,0.042766156,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32;f__CAG-977;g__UBA2903;s__
46,0.933924471,0.003,0.183,0.167,11,3,4,"('CosteaPI_2017__SID713A056_11_0_0__bin_43':0.093650333,((((('H03_WC24_S24__DASTool_bins_53':1.0008e-06,'G03_WC23_S23__DASTool_bins_G03_WC23_S23__bin_85_sub':0.0069422442)100:0.0015045645,('B04_WC26_S26__DASTool_bins_maxbin2_003_sub':0.0002364803,'A04_WC25_S25__DASTool_bins_metabat2_127_sub':1.0008e-06)100:0.0013662298)100:0.000722686,'F03_WC22_S22__DASTool_bins_maxbin2_060':0.0019868466)100:0.0032952362,(('F04_WC30_S30__DASTool_bins_concoct_004':0.0004772907,'E04_WC29_S29__DASTool_bins_74_sub':0.000742254)100:0.0019110366,'C04_WC27_S27__DASTool_bins_maxbin2_073':2.5445e-06)100:0.0075889953)100:0.0845792844,('D05_WC36_S36__DASTool_bins_concoct_218':1.0008e-06,'C05_WC35_S35__DASTool_bins_concoct_055':1.0008e-06)100:0.0917130709)100:0.0370988337)100:0.0198984664;","((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052;",13.80181,0.227793182,d__Bacteria;p__Firmicutes;c__Bacilli;o__RFN20;f__CAG-288;g__UBA7642;s__
49,0.941648133,0.001,0.093,0.172,7,3,12,"((('TungJ_2015__M05__bin_7':0.0134935556,'TungJ_2015__M03__bin_27':0.0010823577)100:0.0046438413,('TungJ_2015__M04__bin_98':1.0008e-06,'TungJ_2015__M01__bin_26':0.0066101004)100:0.0002648266)100:0.0285171386,('E02_WC13_S13__DASTool_bins_concoct_118':0.0035948164,('B04_WC26_S26__DASTool_bins_metabat2_110':0.000573653,'A04_WC25_S25__DASTool_bins_concoct_340':0.00076681)100:0.0026074239)100:0.0113121988)100:0.0181808435;","((((('Papio_cynocephalus':2.41,('Papio_hamadryas':1.73232857,'Papio_anubis':1.73232857)30:0.67767143)29:2.67028789,'Theropithecus_gelada':5.08028789)27:8.66928294,'Cercopithecus_ascanius':13.74957083)35:5.67273395,('Piliocolobus_badius':12.8,'Colobus_guereza':12.8)43:6.62230478)42:10.01924203,('Gorilla_gorilla':9.06309552,((('Pan_troglodytes_troglodytes':0.5,'Pan_troglodytes_schweinfurthii':0.5):2.82005943,'Pan_paniscus':2.82005943)40:3.83084557,'Homo_sapiens':6.650905)48:2.41219052)51:20.3784513)47:13.70974953;",59.38309363,0.061561551,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__CAG-145;s__
